No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
394;SLAS-0000144-2018;ESTACION DE SERVICIOS COMBUSTIBLES UNO CELAQUE;FUNCIONAL;29/8/2019;GRACIAS;LEMPIRA;PETROLEO GAS E HIDROCARBUROS 
395;SLAS-0000063-219;CONSTRUCCION DE MURO PARA ESTABILIZACION EN COLONIA ALAMEDA;FUNCIONAL;29/8/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
396;2008-A-1110;RESIDENCIAL VILLA TOSCANA;RENOVACION LICENCIA;30/8/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
397;2012-LA-00482;BENEFICIO DE CAFÉ HUMEDO EL ESPINO;AUDITORIA;30/8/2019;SAN PEDRO TUTULE;LA PAZ;AGROPECUARIO
398;SLAS-0000065-2019;PASO PEATONAL SUBTERRANEO FRENTE A EDIFICIO METROPOLIS-EMISORAS UNIDAS;FUNCIONAL;3/9/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
399;2014-LA-00403;ZOOLOGICO Y ZOO CRIADERO LOS GUACAMAYO;AUDITORIA;3/9/2019;SANTA CRUZ DE YOJOA;CORTES;BIODIVERSIDAD
400;136-1996;AMPLIACION PLANTA DE TRATAMIENTO HOTEL HENRRY MORGAN;RENOVACION  LICENCIA;4/9/2019;ROATAN;ISLAS DE LA BAHIA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
401;SLAS-0000253-2018;HIPOSSER;FUNCIONAL;5/9/2019;VILLANUEVA;CORTES;INDUSTRIAL
402;2014-LA-00435;ESTACION DE SERVICIO Y GASOLINERA PEHON;LICENCIA;5/9/2019;TALANGA;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
403;SLAS-0000113-2018;TEXACO OBELISCO;FUNCIONAL;5/9/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
404;SLAS-0000182-2016;COLONIA VIRGEN DE SUYAPA;FUNCIONAL;5/9/2019;CHOLUTECA;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
405;SLAS-0000553-2017;NOVALACE  S. A. DE C. V.;FUNCIONAL;18/9/2019;CHOLOMA;CORTES;INDUSTRIAL
406;SLAS-0000032-2019;REHABILITACION DE CAMINO RURAL TERCIARIO EN TRAMOS: GUAJIQUIRO CENTRO-BREAS- SANTAT ROSITA: CON UNA LONGITUD DE 32 KILOMETROS  00 METROS (32.00KM);FUNCIONAL;18/9/2019;GUAJIQUIRO;LA PAZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
407;2005-AA-290;ESTACION DE SERVICIO PAZ BARAHONA;REPOSICION AUDITORIA;20/9/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
408;SLAS-0000147-2018;FABRICA DE TAMALES FINCAS EL CARMEN;FUNCIONAL;23/9/2019;VILLA DE SAN ANTONIO;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
409;2006-A-158;FABRICA DE PLASTICOS GODOY;RENOVACION LICENCIA;25/9/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
410;SLAS-0000035-2018;ESTACION DE SERVICIO PUMA LEMPIRA;FUNCIONAL;25/9/2019;SANTA ANA;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
411;SLAS-000037-2018;ESTACION DE SERVICIO PUMA PANAMERICANA;FUNCIONAL;25/9/2019;CHOLUTECA;CHOLUTECA;PETROLEO GAS E HIDROCARBUROS 
412;2011-A-290;TANQUE DE ALMACENAMIENTO DE COMBUSTIBLE/ BUNKER;RENOVACION  LICENCIA;25/9/2019;CHOLOMA;CORTES;PETROLEO GAS E HIDROCARBUROS 
413;SLAS-0000518-2017;PLANTA DE HIELO SAMPILE;FUNCIONAL;25/9/2019;CHOLUTECA;CHOLUTECA;INDUSTRIAL
414;SLAS-0000315-2017;CENTRO DE PROCESAMIENTO DE CACAO SERVICIOS AGRICOLAS COPROASERSO;FUNCIONAL;25/9/2019;JUTIAPA;ATLANTIDA;AGROPECUARIO
415;SLAS-0000565-2017;PROVIDENCE HONDURAS;FUNCIONAL;25/9/2019;VILLANUEVA;CORTES;INDUSTRIAL
416;2014-LA-00405;LABORATORIO DE CULTIVO   CRIA Y PRODUCCION DE LANA DE CAMARON;AUDITORIA;25/9/2019;MARCOVIA;CHOLUTECA;AGROPECUARIO
417;SLAS-0000555-2017;WEST BAY GOLF AND VILLAS;FUNCIONAL;26/9/2019;ROATAN;ISLAS DE LA BAHIA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
418;2005-A-17;EXTRACCION DE MATERIALES PETREOS EL LIMON;REPOSICION DE LICENCIA;26/9/2019;MOROCELI;EL PARAISO;PETROLEO GAS E HIDROCARBUROS 
419;SLAS-0000092-2019;CONSTRUCCION DE EDIFICIO AER-MDC;FUNCIONAL;26/9/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
420;SLAS-0000333-2018;PLANTA EMPACADORA DE MARISCOS CANALES II;FUNCIONAL;26/9/2019;SAN LORENZO;VALLE;AGROPECUARIO
421;SLAS-0000578-2017;CONSTRUCCION DE BODEGA  No.5;FUNCIONAL;26/9/2019;VILLANUEVA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
422;2003-A-13;PLAN DE MEJORAS URGENTES AEROPUERTO INTERNACIONAL DE TONCONTIN;RENOVACION LICENCIA;9/10/2019;DISTRITO CENTRAL ;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
423;SLAS-0000045-2019;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE DE LA PAZ  DEPARTAMENTO DE LA PAZ;FUNCIONAL;9/10/2019;HUMUYA  LA PAZ  Y CANE;COMAYAGUA Y LA PAZ;SANEAMIENTO
424;2015-LA-00092;PUMA LA MASICA;AUDITORIA;9/10/2019;LA MASICA ;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
425;SLAS-0000121-2019;CENTREO DE DISTRIBUCION FENORSA COMAYAGUA;FUNCIONAL;9/10/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
426;SLAS-0000134-2019;BENEFICIO SECO COCANUPOL;FUNCIONAL;10/10/2019;SENSENTI;OCOTEPEQUE;AGROPECUARIO
427;2004-A-293;AMPLIACION Y CLAUSURA DEL RELLENO SANITARIO MANUAL DE LA ESCUELA AGRICOLA PANAMERICANA;RENOVACION LICENCIA;10/10/2019;SAN ANTONIO DE ORIENTE;FRANCISCO MORAZAN;SANEAMIENTO
428;2015-LA-00334;LOTIFICACION VILLA FLORENCIA;LICENCIA;11/10/2019;LA PAZ;LA PAZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
429;2003-A-37;ARENA Y GRAVA YARUMELA;RENOVACION LICENCIA;16/10/2019;LA PAZ;L A PAZ;INDUSTRIAL
430;2004-A-250;ESTACION DE SERVICIO DE HIDROCARBUROS DE PETROLERA DEL NORTE  S. DE R. L.;RENOVACION LICENCIA;16/10/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
431;2009-A-314;RESIDENCIAL HAMBURGO;RENOVACION LICENCIA;16/10/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
432;015-AA3-1-09-0801-04-B;PASEO LAS CAMPANAS;RENOVACION LICENCIA;16/10/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
433;SLAS-0000225-2018;CADELGA TEGUCIGALPA;FUNCIONAL;17/10/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
434;SLAS-0000239-2018;AGREGADOS INNOVA;FUNCIONAL;17/10/2019;VILLANUEVA;CORTES;MINERO
435;123-A-2002;ESTACION DE SERVICIO PUMA LOMAS LINDAS;REPOSICION  LICENCIA;17/10/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
436;2007-A-48;INDUSTRIA MOLINERA  S. A. DE C. V. (IMSA);RENOVACION LICENCIA;21/10/2019;CHOLOMA;CORTES;INDUSTRIAL
437;SLAS-0000410-2017;ESTACION DE SERVICIO EL CARRIZAL #2;FUNCIONAL;21/10/2019;CHOLUTECA;CHOLUTECA;PETROLEO GAS E HIDROCARBUROS 
438;SLAS-0000045-2018;ALQUILERES EUCEDA  MANEJO Y TRATAMIENTO DE DESECHOS SOLIDOS;FUNCIONAL;18/10/2019;TRUJILLO;COLON;SANEAMIENTO
439;2012-LA-00122;HANES CHOLOMA  S. DE R. L.(PLANTA DE CORTE);RENOVACION AUDITORIA;21/10/2019;CHOLOMA;CORTES;INDUSTRIAL
440;2011-A-224;JERZEES NUEVO DIA;RENOVACIONLICENCIA;21/10/2019;CHOLOMA;CORTES;INDUSTRIAL
441;SLAS-0000177-2018;PLAZA CHOLUTECA LA COLONIA;FUNCIONAL;21/10/2019;CHOLUTECA;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
442;SLAS-0000605-2017;PLAZA CHOLOMA-SUPERMERCADOS LA COLONIA;FUNCIONAL;21/10/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
443;SLAS-0000161-2019;ASOCIACION DE PRODUCTORES CAFETALEROS CORQUINENSES (APROCCOR);FUNCIONAL;21/10/2019;CORQUIN;COPAN;AGROPECUARIO
444;SLAS-0000279-2018;TALLER DE CARPINTERIA ORLANDO;FUNCIONAL;21/10/2019;DANLI;EL PARAISO;FORESTAL
445;SLAS-0000189-2016;RECONSTRUCCION DE LOSA DEL PUENTE SOBRE RIO GRANDE;FUNCIONAL;21/10/2019;JESUS DE OTORO;INTIBUCA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
446;SLAS-0000105-2018;CONSTRUCCION DE PUENTE SOBRE EL RION SANGRELAYA CON UNA LONGITUD APROXIMADA DE 52 ML. LOCALIZADO EN IRIONA  DEPARTAMENTO DE COLON;FUNCIONAL;21/10/2019;IRIONA;COLON;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
447;270-A-2001;PRIDE PERFORMANCE FABRICS  S. A.;RENOVACION LICENCIA;22/10/2019;QUIMISTAN;SANTA BARBARA;INDUSTRIAL
448;538-A-97;PUMA CASCADAS;AUDITORIA;24/10/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
449;2011-A-97;MAXI BODEGA LA CEIBA;RENOVACION LICENCIA;29/10/2019;LA CEIBA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
450;491-AA-2000;ESTACION DE SERVICIO TEXACO 105;REPOSICION AUDITORIA;29/10/2019;SAN PEDRO SULA ;CORTES;PETROLEO GAS E HIDROCARBUROS 
451;SLAS-0000108-2016;DESPENSA FAMILIAR VENECIA;LICENCIA FUNCIONAL;29/10/2019;TELA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
452;SLAS-0000062-2019;COSTRUCCION DE VIA RAPIDA CASA PRESIDENCIAL - BULEVAR SAN JUAN BOSCO;LICENCIA FUNCIONAL;29/10/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
453;2007-A-230;CONSTRUCCION  DE TORRE PARA TELEFONIA CELULAR  SITIO MACUELIZO;RENOVACION LICENCIA;30/10/2019;MACUELIZO;SANTA BARBARA;TELECOMUNICACIONES
454;2008-A-1335;CONSTRUCCION  DE TORRE PARA TELEFONIA CELULAR  SITIO DANDY (ROOFTOP);RENOVACION LICENCIA;31/10/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
455;2007-A-272;CONSTRUCCION  DE TORRE PARA TELEFONIA CELULAR  SITIO PULHAPANZAK;RENOVACION LICENCIA;1/11/2019;SAN FRANCISCO DE YOJOA;CORTES;TELECOMUNICACIONES
456;SLAS-0000084-2019;PLANTA PROCESADORA DE FRUTA;FUNCIONAL;4/11/2019;SAN MARCOS DE COLON;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
457;2013-A-LA-00497;MINERA NO METALICA EL GUAYMON;RENOVACION LICENCIA;4/11/2019;EL NEGRITO ;YORO;MINERO
458;SLAS-0000132-2019;BENEFICIO  HUMEDO COCANUPOL;FUNCIONAL;5/11/2019;SAN MARCOS ;OCOTEPEQUE;AGROPECUARIO
459;065-AA-2002;PETROSUN FRENCH HARBOUR; REPOSICION AUDITORIA;6/11/2019;ROATAN;ISLAS DE LA BAHIA;PETROLEO GAS E HIDROCARBUROS 
460;2003-A-416;PLANTA DE DISTRIBUCION DE GAS LPG ROATAN;RENOVACION LICENCIA;6/11/2019;ROATAN;ISLAS DE LA BAHIA;PETROLEO GAS E HIDROCARBUROS 
461;SLAS-0000448-2017;CABLE SUBMARINO DE DISTRIBUCION ELECTRICA DE SANTA ELENA;FUNCIONAL;7/11/2019;JOSE SANTOS GUARDIOLA ;ISLAS DE LA BAHIA;ENERGIA
462;2008-A-2259;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO NUEVA ARCADIA;RENOVACION LICENCIA;7/11/2019;SANTA ANA;FRANCISCO MORAZAN;TELECOMUNICACIONES
463;2008-A-2061;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO CERRO LA CRUCITA;RENOVACION LICENCIA;7/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;TELECOMUNICACIONES
464;SLAS-0000189-2019;PEQUEÑA MINERIA NO METALICA RIO HONDO;FUNCIONAL;14/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;MINERO
465;2008-A-2259;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO NUEVA ARCADIA;RENOVACION LICENCIA;7/11/2019;SANTA ANA;FRANCISCO MORAZAN;TELECOMUNICACIONES
466;SLAS-0000132-2019;BENEFICIO  HUMEDO COCANUPOL;FUNCIONAL;5/11/2019;SAN MARCOS ;OCOTEPEQUE;AGROPECUARIO
467;SLAS-0000016-2019;CONTRATO DE EMERGENCIA PARA LA REPARACION CON MEZCLA ASFALTICA (20.53 KM) Y CONCRETO HIDRAULICO (9.35 KM) DE  LA CARRETERA EN ELTRAMO I FLOWER BAY-WEST END  TRAMO II DESVIO WEST BAY  EN EL TRAMO III: COXEN  HOLE -FLOWER BAY  Y TRAMO IV WEST END-DESVIO PARROT TREE;FUNCIONAL;15/11/2019;ROATAN;ISLAS DE LA BAHIA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
468;2008-A-2261;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO EL CAPULIN;RENOVACION LICENCIA;15/11/2019;MOROCELI;EL PARAISO;TELECOMUNICACIONES
469;SLAS-0000269-2019;CONSTRUCCION DE VIVIENDA EN LAS MATAS  ALDEA EL HATILLO;FUNCIONAL;18/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
470;2010-A-304;UNIVERSAL PLASTIC & PACK  S. DE R. L.;RENOVACION LICENCIA;18/11/2019;VILLANUEVA;CORTES;INDUSTRIAL
471;2008-A-2248;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO LAS LIMAS;RENOVACION LICENCIA;18/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;TELECOMUNICACIONES
472;2008-A-2249;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO LA GALERA  JOYA Y CANDELARIA;RENOVACION LICENCIA;18/11/2019;EL CORPUS;CHOLUTECA;TELECOMUNICACIONES
473;2008-A-1787;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO LOS CALPULES;RENOVACION LICENCIA;19/11/2019;LEJAMANI;COMAYAGUA;TELECOMUNICACIONES
474;2015-LA-00130;ESTACION DE SERVICIO PUMA SAN MARCOS DE COLON; LICENCIA;21/11/2019;SAN MARCOS DE COLON;CHOLUTECA;PETROLEO GAS E HIDROCARBUROS 
475;SLAS-0000388-2017;ESTACION DE SERVICIO UNO SAN JOSE DE BUENA VISTA;FUNCIONAL;21/11/2019;TALANGA;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
476;SLAS-0000196-2018;INDUSTRIA FORESTAL LAS CRUCITAS;FUNCIONAL;21/11/2019;POTRERILLOS;EL PARAISO;FORESTAL
477;SLAS-0000343-2018;LOTIFICACION BRISAS DEL TRAPICHE;FUNCIONAL;21/11/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
478;SLAS-0000174-2016;ESTACION DE SERVICIO ESTRELLA DE ORIENTE;FUNCIONAL;21/11/2019;DANLI;EL PARAISO;PETROLEO GAS E HIDROCARBUROS 
479;SLAS-0000552-2017;AGENCIA JE HANDAL  S. A. DE C. V. ;FUNCIONAL;21/11/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
480;SLAS-0000109-2019;SOCIEDAD MERCANTIL COOPERATIVA CAFETALERA  SAN FRANCISCO DE CONES LIMITADA  (COCASANCOL);FUNCIONAL;21/11/2019;SENSENTI;OCOTEPEQUE;AGROPECUARIO
481;2008-A-1721;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO PIRAMIDES COMAYAGUA;RENOVACION LICENCIA;21/11/2019;VILLA DE SAN ANTONIO;COMAYAGUA;TELECOMUNICACIONES
482;2008-A-22;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR SITIO LA GERMANIA;FUNCIONAL;22/11/2019;SIGUATEPEQUE;COMAYAGUA;TELECOMUNICACIONES
483;2014-LA-00096;CENTRAL HIDROELECTRICA EL RANCHO;LICENCIA FUNCIONAL;22/11/2019;SAN LUIS  Y ATIMA;SANTA BARBARA;ENERGIA
484;2008-A-2205;AMPLIACION ESTACION DE SERVICIO Y TERMINAL DE ALMACENAMIENTO DE COMBUSTIBLE  BAY ISLAND PETROLEUM BIP;LICENCIA FUNCIONAL;27/11/2019;ROATAN;ISLAS DE LA BAHIA;PETROLEO GAS E HIDROCARBUROS 
485;SLAS-0000089-2018;MADERAS CURADAS Y PALLET DE HONDURAS;FUNCIONAL;27/11/2019;LA PAZ;LA PAZ;FORESTAL
486;2013-LA-00097;ESTACION DE SERVICIOS SUYAPA;AUDITORIA;27/11/2019;DISTRITO CENTRAL ;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
487;SLAS-0000005-2019;CANALIZACION DE RIO JACALEAPA TRAMO PUENTE SAN JOSE DE LA VEGA;LICENCIA FUNCIONAL;27/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
488;SLAS-0000208-2019;CANALIZACION DE AGUAS PLUVIALES  PARA REDUCIR EL RIESGO EN  KM 86  DEL MUNICIPIO DE PIMIENTA;LICENCIA FUNCIONAL;27/11/2019;PIMIENTA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
489;SLAS-0000003-2019;CONSTRUCCION PUENTE PEATONAL COLONIA LA LAGUNA -ALEMANIA;LICENCIA FUNCIONAL;27/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
490;SLAS-0000073-2018;DESPENSA FAMILIAR LA ENTRADA A COPAN;FUNCIONAL;28/11/2019;NUEVA ARCADIA;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
491;SLAS-0000216-2019;BENEFICIO HUMEDO Y SECO DE CAFÉ;FUNCIONAL;28/11/2019;SANTA BARBARA;SANTA BARBARA;AGROPECUARIO
492;SLAS-0000257-2016;RECOLECCION Y TRANSPORTE DE RESIDUOS;FUNCIONAL;28/11/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;SANEAMIENTO
493;SLAS-0000147-2019;RECONSTRUCCION DE CARRETERA EN LOS MUNICIPIOS DE MARALE  EN LOS DEPARTAMENTOS DE FRANCISCO MORAZAN  YORO Y YORITO;FUNCIONAL;2/12/2019;YORO ;YORO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
