No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
101;2005-A-63-F;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL  S. A. DE C. V. SITIO  SAN JORGE DE SULA;RENOVACION  LICENCIA;19/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
102;2005-A-604-J;INSTALACION DE  ANTENAS COPAN MEGATEL  SITIO RIO AMARILLO ;AUDITORIA;19/2/2019;SANTA RITA;COPAN;TELECOMUNICACIONES
103;2003-A-375-C;INSTALACION DE  ANTENAS  YORO  MEGATEL  S. A. DE C. V. ( SITIO 4 YO_1) ;RENOVACION  LICENCIA;19/2/2019;YORO;YORO;TELECOMUNICACIONES
104;2006-A-548-A;INSTALACION DE  ANTENAS MUNICIPIO DE SANTA RITA  SITIO LA BARCA;RENOVACION  LICENCIA;20/2/2019;SANTA;YORO;TELECOMUNICACIONES
105;2005-A-63-O;INSTALACION DE  ANTENAS SAN PEDRO SULA  MEGATEL  SITIO EXPOCENTRO;RENOVACION  LICENCIA;20/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
106;2005-A-63-U;INSTALACION DE  ANTENAS SAN PEDRO SULA  MEGATEL  SITIO PAZ BARAHONA;RENOVACION  LICENCIA;20/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
107;2005-A-63-K;INSTALACION DE  ANTENA  SITIO JARDINES DEL VALLE;RENOVACION LICENCIA;20/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
108;2005-A-63-Q;INSTALACION DE  ANTENAS  SAN PEDRO SULA MEGATEL  SITIO FESITRANH;RENOVACION LICENCIA;20/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
109;2014-LA-00352;MACRO ESTACION SECADO Y BENEFICIADO DE CACAO PARA LA COOPERATIVA SAN FERNANDO;LICENCIA;21/2/2019;OMOA;CORTES;AGROPECUARIO
110;2003-A-367-F;INSTALACION DE  ANTENAS ATLANTIDA MEGATEL  S. A. DE C. V.  (SITIO 7 CEI_5);RENOVACION  LICENCIA;26/2/2019;LA CEIBA;ATLANTIDA;TELECOMUNICACIONES
111;2005-A-600-A;INSTALACION DE  ANTENA  SITIO  PEÑA BLANCA;AUDITORIA;26/2/2019;SANTA CRUZ DE YOJOA;CORTES;TELECOMUNICACIONES
112;2005-A-63-N;INSTALACION DE  ANTENAS  SAN PEDRO SULA  MEGATEL  S. A. DE C. V. SITIO  BELLA VISTA;RENOVACION LICENCIA;26/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
113;2010-A-188;INSTALACION DE  ANTENA  SITIO  VERACRUZ;RENOVACION  LICENCIA;26/2/2019;VERACRUZ;COPAN;TELECOMUNICACIONES
114;2005-A-63-I;INSTALACION DE  ANTENAS  SAN PEDRO SULA  MEGATEL  SITIO  SATELITE;RENOVACION  LICENCIA;26/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
115;2003-A-373-D;INSTALACION DE  ANTENAS OLANCHO MEGATEL   S. A. DE C. V. (SITIO CARRIZALITO 1);RENOVACION LICENCIA;27/2/2019;JUTICALPA;OLANCHO;TELECOMUNICACIONES
116;2003-A-375-E;INSTALACION DE  ANTENA YORO  MEGATEL DE HONDURAS   S. A. DE C. V. SITIO 06  (OLA 1) OLANCHITO;RENOVACION LICENCIA;27/2/2019;OLANCHITO;YORO;TELECOMUNICACIONES
117;2005-A-604-I;INSTALACION DE  ANTENAS COPAN  MEGATEL  SITIO  SANTA RITA;AUDITORIA;27/2/2019;SANTA RITA;COPAN;TELECOMUNICACIONES
118;2005-A-600-C;INSTALACION DE  ANTENA SANTA BARBARA MEGATEL  SITIO  CALLEJONES;AUDITORIA;27/2/2019;MACUELIZO;SANTA BARBARA;TELECOMUNICACIONES
119;2005-A-63-B;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL  SITIO  EL PEDREGAL;RENOVACION LICENCIA;27/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
120;2005-A-63-R;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL  S. A.  DE  C. V. SITIO  LOMAS DEL CARMEN;RENOVACION  LICENCIA;27/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
121;2006-A-548;INSTALACION DE  ANTENAS MUNICIPIO DE SANTA RITA   SITIO  SANTA RITA I;RENOVACION  LICENCIA;27/2/2019;SANTA RITA;YORO;TELECOMUNICACIONES
122;2006-A-518;INSTALACION DE TRES ANTENAS  MUNICIPIO DE TALANGA   DEPARTAMENTO DE FRANCISCO MORAZAN  SITIO LA ESPERANZA;RENOVACION  LICENCIA;27/2/2019;TALANGA;FRANCISCO MORAZAN;TELECOMUNICACIONES
123;2003-A-367-D;INSTALACION DE  ANTENA ATLANTIDA  MEGATEL  S. A. DE C. V. (SITIO 5  CEI_3  LA CEIBA);RENOVACION  LICENCIA;27/2/2019;LA CEIBA;ATLANTIDA;TELECOMUNICACIONES
