DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
Lempira,San Francisco,1317,6.9,5.4,0,9.6,9.7,7.6,0.2,0.2,4.9,9.2,7,8.2,8.1,3.5,7.1,5.6,7,3.3,9.6,7.7,9.3,9.1,6.6,8.3,8,6.5,46
Lempira,Santa Cruz,1322,6.7,0,0,7.7,5.9,4.8,4.4,4.4,4.6,9.6,6.7,8.7,8.3,0.4,7.6,5,7,6.7,8.9,8,9.3,9.2,8.1,8.9,8.5,6.5,46
Choluteca,El Triunfo,606,8.4,9.7,5.4,0,6.8,7.1,5.3,5.3,6.3,7.4,8.7,7.1,7.7,5.1,4.6,4.9,6.5,6.7,4.1,5.5,8.9,7.2,5.4,7.2,6.4,6.4,51
Choluteca,Morolica,608,0,9.2,0,6.7,9.6,6.8,1.7,1.7,4.7,8.7,8.9,6.9,8.2,2.1,7.2,5.2,7,6.7,8,7.4,8.9,9.2,7.5,8.5,8,6.4,51
Choluteca,San Jose,614,6.2,0,0,8.1,9.5,6.2,2.1,2.1,4.5,8.6,9.3,7.8,8.6,2.2,5.6,4.1,6.9,10,7.8,9.2,7.5,8.9,5.3,7.2,8.4,6.4,51
Francisco Morazan,Alubaren,802,6.5,9,0,9.5,9.6,8.1,1.6,1.6,5.8,8.1,7.8,7.8,7.9,1.8,4.6,3.3,6.1,6.7,7.5,7.1,9.1,7.5,6,7.5,7.3,6.4,51
Gracias a Dios,Brus Laguna,902,0,0,9.7,0,0,3.8,6.9,6.9,5.6,9.1,8.3,8.9,8.8,0.5,3.5,2.1,6.5,6.7,6.7,6.7,8.6,10,3.5,7.4,7.1,6.4,51
Intibuca,Jesus de Otoro,1007,7.1,0,0,9.2,0,4.7,9.5,9.5,7.9,6.8,6.8,6.5,6.7,3.8,5.7,4.8,5.8,6.7,3.7,5.4,7.7,6.8,4.2,6.2,5.8,6.4,51
Intibuca,San Antonio,1010,5.9,3.7,0,6.7,9.5,6.1,3.5,3.5,4.9,8.2,8.8,7.7,8.2,8,6.5,7.3,7.8,6.7,7.4,7.1,5.5,8.4,4.9,6.3,6.7,6.4,51
Intibuca,San Juan,1012,7.3,0,0,4.7,0,3.1,8.4,8.4,6.5,7.4,6.5,7.2,7,3.7,6.2,5.1,6.1,8.3,4.8,6.9,8.2,5.3,5.9,6.5,6.7,6.4,51
Intibuca,San Marcos de Sierra,1013,6.9,3.6,0,10,9.7,7.6,1,1,5.2,9.6,3.6,7.1,6.8,0.8,7.5,5,6,8.3,8.3,8.3,9.9,9.2,6.5,8.5,8.4,6.4,51
La Paz,Aguanqueterique,1202,5.9,0,0,9.5,9.5,6.7,4.3,4.3,5.6,7.9,7.6,5.8,7.1,2.4,6.4,4.7,6,8.3,7.2,7.8,8.5,8.7,6.4,7.9,7.9,6.4,51
Lempira,Erandique,1305,7.4,0,0,9.7,6.1,6.1,2,2,4.4,8.9,7.3,7.4,7.9,2.2,8.2,6,7.1,10,5.9,8.7,8.7,8.1,6.7,7.8,8.3,6.4,51
Lempira,San Marcos de Caiquin,1328,6.5,0,0,7.9,5.9,4.9,6.4,6.4,5.7,8.2,7.4,7.7,7.8,0.3,5.7,3.5,6.1,6.7,9,8.1,8.9,8,4.2,7,7.6,6.4,51
Santa Barbara,Nuevo Celilac,1615,6.8,0,0,7.9,0,4.7,6.1,6.1,5.4,7.4,8.6,7,7.7,6.1,5.7,5.9,6.9,6.7,7.6,7.2,7.2,6.7,6,6.6,6.9,6.4,51
Santa Barbara,Santa Rita,1624,6.2,0,0,8,0,3.8,6.2,6.2,5.1,7.9,8.2,7.3,7.8,2.2,5.8,4.2,6.3,10,7.6,9.1,8,5.4,5.9,6.4,8,6.4,51
Valle,San Francisco de Coray,1708,7,0,0,3.4,9.7,5.5,3.5,3.5,4.6,9.2,9.1,7,8.4,2.7,5.8,4.4,6.8,8.3,8,8.2,9.3,9.3,7.3,8.6,8.4,6.4,51
Yoro,Olanchito,1807,0,4.9,0,7,0,3,10,10,8.1,6.2,6.9,6.8,6.6,8.7,4.2,7,6.8,6.7,2.2,4.8,4.9,5.8,3.8,4.8,4.8,6.4,51
Comayagua,San Luis,316,0,0,0,5.4,5.6,2.7,7.2,7.2,5.4,7,7.8,7.4,7.4,2.6,4.6,3.7,5.9,10,5.3,8.6,6.7,7.2,6.2,6.7,7.8,6.3,67
Copan,San Juan de Opoa,418,7,0,0,6.3,0,3.4,6.7,6.7,5.3,7.9,8.2,6.5,7.5,0.8,5.6,3.6,5.9,10,6.9,8.9,6.9,7.6,6.4,7,8.1,6.3,67
El Paraiso,Soledad,714,6.9,5.2,0,9.5,9.7,7.5,1,1,5.1,8.9,8.2,6.5,7.9,4.2,4.5,4.4,6.5,6.7,7.9,7.3,8.7,8.4,6.4,7.8,7.6,6.3,67
El Paraiso,Teupasenti,715,0,0,0,10,6.7,5.3,6.4,6.4,5.9,8.9,8.6,6.7,8.1,1.1,5.2,3.4,6.3,3.3,5.7,4.6,8.7,9.2,6.7,8.2,6.8,6.3,67
Lempira,Candelaria,1303,6.7,3.8,0,9.6,6.9,6.4,0,0,3.9,8.9,8.1,7.5,8.2,2,9.3,7,7.7,10,7.7,9.2,6.1,8.2,5.6,6.6,8.2,6.3,67
Lempira,San Rafael,1320,7.3,0,0,9.1,0,4.7,5.4,5.4,5.1,8.7,8.1,7,7.9,3.1,7.3,5.6,6.9,6.7,7.9,7.3,8.4,7.2,5.7,7.1,7.2,6.3,67
Ocotepeque,Concepcion,1403,6.4,0,0,9.4,0,5.5,6.5,6.5,6,7.3,7.2,5.7,6.7,2.5,4.9,3.8,5.4,8.3,7.4,7.9,6.6,9.3,7.1,7.7,7.8,6.3,67
Olancho,Juticalpa,1501,0,5.7,0,8.5,0,3.9,9.2,9.2,7.4,6.4,6.5,6,6.3,9.1,4.4,7.4,6.9,3.3,2.4,2.9,5.9,7.5,5.4,6.3,4.8,6.3,67
Olancho,Guayape,1511,0,10,0,5.6,5.2,5.7,2.6,2.6,4.3,7.8,7.9,7.7,7.8,4.1,6.8,5.6,6.8,10,7.8,9.2,9,7.9,6.4,7.8,8.6,6.3,67
Santa Barbara,Arada,1602,7,9.4,0,9.5,0,6.9,4.7,4.7,5.9,7.1,7.9,6.6,7.2,2,5.3,3.8,5.8,10,6.2,8.8,5.7,4.1,5.6,5.1,7.4,6.3,67
Valle,Alianza,1702,6.8,10,7.3,0,0,6.4,4.2,4.2,5.4,7.4,6.8,7.3,7.2,5.8,3,4.5,6,10,7.3,9.1,4.4,5.4,5.6,5.1,7.6,6.3,67
Valle,Aramecina,1704,6.7,3.3,0,7.5,9.4,6.4,2.6,2.6,4.8,8,8.5,7.2,7.9,4.1,4.2,4.2,6.4,10,7.1,9,6.6,7.9,6.4,7,8.2,6.3,67
Choluteca,Pespire,611,7.8,9.5,0,5.5,9.9,7.8,4.2,4.2,6.3,6.9,8,6.7,7.2,4.3,5.5,4.9,6.2,6.7,6.1,6.4,7.2,6.6,3.7,5.8,6.1,6.2,79
